company,description,industries
ASPEN INSURANCE HOLDINGS LIMITED (AHL),"Acquired in August 2018, Aspen was a global provider of property and casualty insurance; marine, aviation and energy insurance; financial and professional insurance; and property catastrophe reinsurance.","Acquired.,financial company,insurance"
ALLERGAN PLC (AGN),"Allergan develops, manufactures, markets, and distributes brand name pharmaceutical products, medical aesthetics, biosimilar and over-the-counter pharmaceutical products.","health care,pharmaceuticals"
ALLERGAN INC (AGN),"Acquired by Actavis in 2015, Allergan was a health care company developing and commercializing specialty pharmaceutical, medical device and over-the-counter products for the ophthalmic, neurological, medical aesthetics, dermatology, breast aesthetics, obesity, urological and other specialty markets around the world.","Acquired.,health care,medical devices,pharmaceuticals"
AGCO CORPORATION (AGCO),"AGCO manufactures and distributes agricultural equipment and parts throughout the world. Products include tractors, combines, self-propelled sprayers, hay tools, forage equipment, seeding and tillage, implements, and grain storage and protein production systems, marketed under brands including Challenger, Fendt, GSI, Massey Ferguson and Valtra.",equipment
AFLAC INCORPORATED (AFL),Aflac is a holding company that provides supplemental health and life insurance in the U.S. and Japan. Most Aflac policies are individually underwritten and marketed through independent agents.,"financial company,insurance"
"AMERICAN FINANCIAL GROUP, INC. (AFG)","American Financial Group is primarily engaged in property and casualty insurance for businesses, and in the sale of annuities in the retail, financial institutions and education markets.","financial company,insurance"
AETNA INC. (AET),"Acquired by CV Health in 2018, Aetna was a U.S. health insurance company with offerings including medical, pharmacy, dental, group life and disability, and Medicare Advantage and Medicare supplement plans.","Acquired.,financial company,health care,insurance"
THE AES CORPORATION (AES),"AES owns and operates power plants to generate and sell electricity to utilities, industrial users, and other intermediaries, and operates electric utilities in the U.S. and a number of countries in Latin and Central America, Europe, and Asia.",utility
"AMERICAN ELECTRIC POWER COMPANY, INC. (AEP)","AEP is a public utility holding company that provides electricity in Arkansas, Indiana, Kentucky, Louisiana, Michigan, Ohio, Oklahoma, Tennessee, Texas, Virginia and West Virginia.",utility
"AMERICAN EAGLE OUTFITTERS, INC. (AEO)","The company is an international retailer offering apparel and accessories for men and women under the American Eagle Outfitters brand, and intimates, apparel and personal care products for women under the Aerie brand.",retail
AMEREN CORPORATION (AEE),Ameren is a public utility holding company providing electricity and gas in Missouri and Illinois.,utility
THE ADT CORPORATION (ADT),"Acquired in 2016, ADT provided electronic security, interactive home and business automation and related monitoring services in the U.S. and Canada.","Acquired.,consumer services"
"AUTODESK, INC. (ADSK)","Autodesk makes design software serving customers in industries including architecture, engineering and construction, manufacturing, digital media and entertainment.",software
ALLIANCE DATA SYSTEMS CORPORATION (ADS),"The company provides marketing and loyalty solutions to large, consumer-based businesses. Company offerings include customer loyalty programs, database marketing services, analytics and creative services, direct marketing services and private label and co-brand retail credit card programs.",business services
"AUTOMATIC DATA PROCESSING, INC. (ADP)","ADP provides payroll and benefits administration, and other human resources management services, as well as comprehensive employment administration outsourcing solutions in which employees are co-employed by the company and its clients.",business services
ARCHER-DANIELS-MIDLAND COMPANY (ADM),"The company processes oilseeds, corn, wheat, and other agricultural commodities to manufacture protein meal, vegetable oil, corn sweeteners, flour, biodiesel, ethanol, and other foods and feed ingredients.",materials
"ANALOG DEVICES, INC. (ADI)","Analog Devices designs, manufactures and markets analog, mixed-signal and digital signal processing integrated circuits, algorithms, software, and subsystems.",hardware
"ADC TELECOMMUNICATIONS, INC (ADCT)","Prior to its 2010 merger with Tyco Electronics Ltd., the company provided broadband network infrastructure products such as fiber-optic, copper and coaxial based frames, cabinets, cables, connectors and cards, and wireless capacity and coverage solutions.","Acquired.,hardware"
ADOBE SYSTEMS INCORPORATED (ADBE),"Adobe provides software tools used by creative professionals, marketers, application developers, enterprises and consumers.",software
ALBERTO-CULVER COMPANY (ACV),"Acquired by Unilever in 2010, Alberto Culver developed, manufactured, distributed and marketed beauty care brands, such as VO5, TRESemme, and Noxzema, around the world.","Acquired.,consumer goods"
"AFFILIATED COMPUTER SERVICES, INC. (ACS)","Acquired by Xerox in 2009, Affiliated Computer Services, Inc. provided business process outsourcing and information technology services to commercial and government clients.","Acquired.,IT services"
ACCENTURE PLC (ACN),"Accenture provides professional services including strategy, digital, and technology consulting.","business services,IT services"
AECOM (ACM),"AECOM is a worldwide provider of planning, architectural and engineering design, construction, and facilities management services to commercial and government clients in markets such as transportation, facilities, environmental, energy, water and government markets.","business services,engineering and construction"
"ACI WORLDWIDE, INC. (ACIW)","ACI develops, markets, and provides services around electronic payments software used by financial institutions, retailers, billers and electronic payment processors. The Company also distributes or acts as a sales agent for third party software.","IT services,software"
"AMERICAN CAMPUS COMMUNITIES, INC. (ACC)","American Campus Communities is a real estate investment trust (REIT) that owns, manages and develops student housing properties in the U.S.","real estate,REIT"
"AMERICAN CAPITAL, LTD. (ACAS)",Acquired by Ares Capital. American Capital was an asset management and private equity firm.,"Acquired.,asset management,financial company"
ABBOTT LABORATORIES (ABT),"Abbott was incorporated in 1900. The company develops, manufactures, and sells health care products, including generic pharmaceuticals, diagnostic products, pediatric and adult nutritional products, and devices for the treatment of vascular disease.","health care,pharmaceuticals"
"ABIOMED, INC. (ABMD)","ABIOMED develops, manufactures and markets temporary mechanical circulatory support devices for heart failure patients. Company products are used in the cardiac catheterization labs, by interventional cardiologists, in the electrophysiology labs, and in the heart surgery suite by heart surgeons.",medical devices
APPLIED BIOSYSTEMS INC. (ABI),"Acquired by Invitrogen in 2008, Applied Biosystems developed and marketed research instruments, such as solutions for DNA, RNA, protein, and small molecule analysis, for the life sciences and other industries.","Acquired.,equipment,health care"
